category	phrase	japanese	example
Introduction	Thank you for stopping by.	お立ち寄りありがとうございます。	Thank you for stopping by our poster.
Introduction	Our poster asks whether ...	私たちのポスターでは…かどうかを検討しています。	Our poster asks whether proteinuria changes the association between uric acid and eGFR decline.
Introduction	Previous findings have been inconsistent.	これまでの研究結果は一貫していません。	Previous findings on this interaction have been inconsistent.
Introduction	It remains unclear whether ...	…かどうかはまだ明らかではありません。	It remains unclear whether proteinuria modifies the uric acid–eGFR association.
Introduction	We aimed to examine ...	私たちは…を検討することを目的としました。	We aimed to examine the association between baseline uric acid and annual eGFR change.
Introduction	according to proteinuria status	蛋白尿の有無別に。	We estimated eGFR slopes according to baseline proteinuria status.
Introduction	Let me start with the study population.	まず研究対象者から説明します。	Let me start with the study population shown in Figure 1.
Introduction	Here is the main result.	これが主な結果です。	Here is the main result: the curves differ by proteinuria status.
Introduction	The key message is that ...	重要な結論は…ということです。	The key message is that higher uric acid was linked to faster decline primarily among participants with proteinuria.
Introduction	Please feel free to interrupt me.	いつでも途中でご質問ください。	Please feel free to interrupt me if any part of the figure is unclear.
Cohort	a community-based cohort	地域住民を対象としたコホート。	We analyzed a community-based cohort from coastal Iwate, Japan.
Cohort	be drawn from the RIAS study	RIAS研究から抽出される。	These participants were drawn from the RIAS study.
Cohort	begin six months after the disaster	震災の6か月後に始まる。	The baseline survey began about six months after the 2011 earthquake and tsunami.
Cohort	be followed annually through 2020	2020年まで毎年追跡される。	Participants were followed annually through 2020.
Cohort	provide written informed consent	文書による同意を提供する。	A total of 10,475 people provided written informed consent.
Cohort	withdraw consent before data release	データ公開前に同意を撤回する。	One hundred nine participants withdrew consent before data release.
Cohort	be excluded for missing follow-up data	追跡データの欠損で除外される。	We excluded 1,334 people for missing follow-up eGFR data.
Cohort	be excluded for a history of gout	痛風の既往により除外される。	People with a history of gout or current urate-lowering therapy were excluded.
Cohort	include adults aged 20 or older	20歳以上の成人を含む。	The analysis included adults aged 20 or older.
Cohort	the final analytic cohort	最終的な解析対象集団。	The final analytic cohort comprised 8,266 participants.
Measures	baseline serum uric acid	ベースライン時の血清尿酸。	Baseline serum uric acid was the exposure of interest.
Measures	annual eGFR slope	年間のeGFR傾き。	The annual eGFR slope was our outcome.
Measures	baseline dipstick proteinuria	ベースライン時の尿試験紙による蛋白尿。	We assessed baseline dipstick proteinuria as a potential effect modifier.
Measures	trace or greater on dipstick	尿試験紙で±以上。	In the main analysis, proteinuria meant trace or greater on dipstick.
Measures	a single spot urine sample	単回の随時尿検体。	Proteinuria was measured using a single daytime spot urine sample.
Measures	be present in 371 participants	371人に認められる。	Proteinuria was present in 371 participants, or 4.5 percent.
Measures	a mean follow-up of 7.1 years	平均7.1年の追跡。	The cohort had a mean follow-up of 7.1 years.
Measures	a mean age of 61.7 years	平均年齢61.7歳。	The participants had a mean age of 61.7 years.
Measures	a higher mean uric acid level	より高い平均尿酸値。	Mean uric acid was 5.8 with proteinuria versus 5.1 without it.
Measures	a lower baseline eGFR	より低いベースラインeGFR。	Baseline eGFR was 68.0 with proteinuria versus 78.5 without it.
Methods	use linear mixed-effects models	線形混合効果モデルを用いる。	We used linear mixed-effects models to estimate annual eGFR change.
Methods	account for repeated eGFR measurements	eGFRの反復測定を考慮する。	The model accounted for repeated eGFR measurements within each participant.
Methods	random intercepts and random slopes	ランダム切片とランダム傾き。	We included participant-specific random intercepts and random slopes for time.
Methods	model uric acid continuously	尿酸を連続変数としてモデル化する。	We modeled uric acid continuously rather than using only categories.
Methods	allow for a nonlinear association	非線形の関連を許容する。	Restricted cubic splines allowed for a nonlinear association.
Methods	restricted cubic splines	制限付き三次スプライン。	We used restricted cubic splines with three knots for uric acid.
Methods	at the 10th, 50th, and 90th percentiles	10、50、90パーセンタイルに。	The spline knots were placed at the 10th, 50th, and 90th percentiles.
Methods	test the three-way interaction	三者間交互作用を検定する。	We tested the interaction among time, uric acid, and proteinuria.
Methods	adjust for baseline covariates	ベースラインの共変量で調整する。	We adjusted for baseline covariates such as age, diabetes, and eGFR.
Methods	prespecified subgroup analyses	事前に設定したサブグループ解析。	We prespecified analyses by age, sex, BMI, blood pressure, diabetes, and eGFR.
Findings	This figure shows adjusted eGFR slopes.	この図は調整済みeGFR傾きを示します。	Figure 2 shows adjusted eGFR slopes across serum uric acid levels.
Findings	on the horizontal axis	横軸上に。	On the horizontal axis, we show serum uric acid in milligrams per deciliter.
Findings	on the vertical axis	縦軸上に。	On the vertical axis, we show annual eGFR change.
Findings	the shaded areas represent ...	網掛け部分は…を示します。	The shaded areas represent 95 percent confidence intervals.
Findings	show little variation across uric acid levels	尿酸値が変わってもほとんど変動しない。	Without proteinuria, the eGFR slope showed little variation across uric acid levels.
Findings	be close to minus 1.11 per year	年間約−1.11である。	The mean slope without proteinuria was close to minus 1.11 per year.
Findings	show no clear association	明確な関連を示さない。	We saw no clear association in the proteinuria-negative group, with a P value of 0.220.
Findings	a nonlinear association	非線形の関連。	Among participants with proteinuria, the association was nonlinear.
Findings	be least negative around 5.0 milligrams per deciliter	約5.0 mg/dLで負の程度が最も小さい。	With proteinuria, the eGFR slope was least negative around 5.0 milligrams per deciliter.
Findings	an estimated slope of minus 1.27	推定傾き−1.27。	At 5.0 milligrams per deciliter, the estimated slope was minus 1.27 per year.
Findings	become progressively more negative	徐々により負の値になる。	Above 5.0, the estimated eGFR slope became progressively more negative.
Findings	reach minus 2.04 at 7.8	7.8で−2.04に達する。	At 7.8 milligrams per deciliter, the slope reached minus 2.04 per year.
Findings	a steeper decline at higher uric acid levels	尿酸値が高いほどより急速な低下。	With proteinuria, higher uric acid levels were linked to a steeper eGFR decline.
Findings	proteinuria modified the association	蛋白尿は関連性を修飾しました。	Proteinuria modified the association between uric acid and eGFR slope.
Findings	P for interaction was below 0.001	交互作用のP値は0.001未満でした。	The two patterns differed, with a P for interaction below 0.001.
Subgroups	compare the slopes between groups	群間で傾きを比較する。	Figure 3 compares eGFR slopes between the proteinuria groups.
Subgroups	positive minus negative	陽性群から陰性群を引いた値。	We calculated the difference as the slope with proteinuria minus the slope without it.
Subgroups	a negative difference means ...	負の差は…を意味します。	A negative difference means faster eGFR decline in the proteinuria-positive group.
Subgroups	become more negative as uric acid increases	尿酸値が上がるにつれて差がより負になる。	Across most subgroups, the difference became more negative as uric acid increased.
Subgroups	a prespecified subgroup	事前に設定したサブグループ。	Baseline eGFR was one of six prespecified subgroup factors.
Subgroups	correct for multiple comparisons	多重比較を補正する。	We used Bonferroni correction for the six subgroup interaction tests.
Subgroups	remain significant after correction	補正後も有意である。	Only the baseline eGFR interaction remained significant after correction.
Subgroups	an adjusted P value below 0.001	補正後のP値が0.001未満。	For baseline eGFR, the adjusted P value for interaction was below 0.001.
Subgroups	with baseline eGFR below 60	ベースラインeGFRが60未満では。	With baseline eGFR below 60, the proteinuric group declined faster throughout the plotted range.
Subgroups	interpret this subgroup with caution	このサブグループは慎重に解釈する。	The persistent gap suggests higher risk with proteinuria throughout the displayed uric acid range.
Sensitivity	a stricter proteinuria threshold	より厳しい蛋白尿の閾値。	We repeated the analysis using a stricter proteinuria threshold.
Sensitivity	one-plus or greater on dipstick	尿試験紙で1＋以上。	In the sensitivity analysis, proteinuria meant one-plus or greater on dipstick.
Sensitivity	classify 146 participants as positive	146人を陽性に分類する。	This stricter cutoff classified 146 participants as proteinuria-positive.
Sensitivity	a qualitatively similar pattern	定性的に同様の傾向。	The sensitivity analysis showed a qualitatively similar pattern.
Sensitivity	restrict the analysis to the overall cohort	解析を全体集団に限定する。	We restricted this sensitivity analysis to the overall cohort because few participants were positive.
Interpretation	may identify a higher-risk group	リスクの高い群を見分ける手がかりとなり得る。	Proteinuria may identify a group in which elevated uric acid is more prognostically relevant.
Interpretation	a context-dependent prognostic marker	状況によって予後的意義が異なる指標。	Serum uric acid may be a context-dependent prognostic marker.
Interpretation	proteinuria may mark kidney injury	蛋白尿は腎障害を示しているかもしれない。	Proteinuria may mark underlying kidney injury, although we did not test this mechanism.
Interpretation	a biologically plausible explanation	生物学的にもっともらしい説明。	Tubular injury and inflammation offer a biologically plausible explanation.
Interpretation	we did not test the mechanism	機序は検証していません。	We did not test that mechanism in this cohort.
Interpretation	cannot establish causality	因果関係を証明できない。	Our observational analysis cannot establish causality.
Interpretation	does not establish treatment benefit	治療効果を証明するものではない。	Our finding does not establish a benefit from urate-lowering treatment.
Interpretation	need confirmation in other cohorts	他のコホートで確認が必要である。	This finding needs confirmation in cohorts with quantitative albuminuria data.
Interpretation	interpret the low eGFR subgroup carefully	低eGFR群を慎重に解釈する。	We interpret the low eGFR subgroup carefully because its slope difference was already negative.
Interpretation	a possible clinical implication	考えられる臨床的示唆。	A possible clinical implication is to consider proteinuria when interpreting serum uric acid.
Limitations	measured only at baseline	ベースライン時のみ測定された。	Uric acid and proteinuria were measured only at baseline in our analysis.
Limitations	a single dipstick test	単回の尿試験紙検査。	A single dipstick test cannot establish persistent proteinuria.
Limitations	misclassify low-grade albuminuria	軽度のアルブミン尿を誤分類する。	Dipstick testing may misclassify low-grade albuminuria.
Limitations	residual confounding	残余交絡。	Residual confounding by factors such as diet or medication is possible.
Limitations	selection bias from missing follow-up	追跡データ欠損に伴う選択バイアス。	Excluding people without follow-up eGFR data may cause selection bias.
Limitations	wide confidence intervals at the extremes	両端で広い信頼区間。	The confidence intervals were wider at the extremes of the uric acid range.
Limitations	limited subgroup precision	サブグループ推定の精度に限界がある。	The small proteinuria-positive group limits subgroup precision.
Limitations	creatinine-based eGFR	クレアチニンに基づくeGFR。	Creatinine-based eGFR can be affected by factors other than filtration.
Limitations	limited generalizability	一般化可能性に限界がある。	The disaster-affected regional cohort may have limited generalizability.
Limitations	an observational association	観察された関連性。	An observational association should not be interpreted as a treatment effect.
Q&A	Thank you for that question.	ご質問ありがとうございます。	Thank you for that question about our proteinuria definition.
Q&A	To clarify, we defined ...	明確にすると、私たちは…と定義しました。	To clarify, we defined proteinuria as trace or greater in the main analysis.
Q&A	We chose this cutoff a priori.	この閾値は事前に設定しました。	We chose this cutoff a priori and tested one-plus or greater separately.
Q&A	A negative value here indicates ...	ここで負の値は…を示します。	A negative value here indicates faster decline in the proteinuric group.
Q&A	Only one factor showed heterogeneity.	異質性を示した因子は一つだけでした。	Only baseline eGFR showed significant heterogeneity after Bonferroni correction.
Q&A	We cannot determine that from these data.	このデータからは判断できません。	We cannot determine whether uric acid itself caused eGFR decline from these data.
Q&A	That was not measured repeatedly.	それは繰り返し測定していません。	Uric acid was measured at baseline, so we cannot address changes over time.
Q&A	The result was similar with a stricter cutoff.	より厳しい閾値でも結果は同様でした。	The result was similar with a stricter cutoff of one-plus or greater.
Q&A	That mechanism remains a hypothesis.	その機序は仮説にとどまります。	That mechanism remains a hypothesis; we did not measure tubular inflammation.
Q&A	Thank you for the suggestion.	ご提案ありがとうございます。	Thank you for the suggestion to validate this in another cohort.
