id	blanks
1	faster subsequent kidney function decline|baseline proteinuria|does not establish causality
2	modifying role of proteinuria|allowing the uric acid association to be nonlinear
3	8,266 Japanese community residents|7.1 years
4	371 participants|trace or greater|sensitivity analysis
5	minus 1.27|minus 2.04|proteinuria
6	linear mixed-effects models|random intercept|random time slope
7	arbitrary uric acid categories|Restricted cubic splines|tenth, fiftieth, and ninetieth percentiles
8	interaction among time, spline-transformed uric acid, and proteinuria|did not infer interaction merely because
9	baseline estimated GFR|disaster-related home damage or flooding|interactions with time
10	prespecified subgroup factors|Bonferroni correction
11	varied little across uric acid levels|minus 1.11|does not imply stable kidney function
12	steeper decline throughout the displayed uric acid range|does not show that uric acid is uniformly more harmful
13	Only baseline estimated GFR|Bonferroni correction|nonsignificant results do not prove
14	146 participants|similar overall pattern|limited precision
15	estimated annual GFR change|95 percent confidence intervals|rather than ranges predicting each individual's future slope
16	injured kidney|urate-related stress|did not test that pathway
17	existing kidney damage|tubular inflammation|cannot determine which role
18	albumin overload and urate exposure|inflammatory pathways|mechanistic context rather than a finding
19	soluble urate and urate crystals|cannot tell us whether crystals were present|did not assess crystal deposition
20	less capacity to tolerate additional stress|did not measure nephron number or renal functional reserve
21	underlying cardiometabolic disease|residual confounding
22	did not test tubular injury or inflammatory pathways|would need direct testing
23	temporal ordering|kidney disease could already have affected uric acid|reverse causation
24	reduce urate excretion|subsequent decline|even without a causal effect
25	imperfect measure of kidney health|variation within each category|unmeasured kidney damage
26	same baseline visit|temporal relationship is unclear|did not perform a causal mediation analysis
27	conditioning on it could introduce collider bias|conditional associations|causal structure still uncertain
28	Diet, diuretic use, and renin-angiotensin system inhibitor use|residual confounding
29	baseline uric acid and proteinuria|effects of changes in either exposure|Repeated measurements
30	below 0.001|size, precision, and reproducibility|does not establish a useful treatment decision
31	randomized trials|did not demonstrate kidney-function benefit|prognostic marker does not necessarily become an effective treatment target
32	many patients with substantial albuminuria|prespecified randomized comparison
33	prognosis, not treatment response|lowering uric acid prevents decline|clinical indication
34	least negative point of an observational curve|not a randomized treatment target|uncertain
35	exposure extremes are less precise|nutrition or underlying illness|cannot infer
36	No validated cutoff|modeled uric acid continuously|separate validation
37	adjusted association does not establish added predictive value|calibration and discrimination|independent population
38	interpreting uric acid together with proteinuria|improves decisions and patient outcomes
39	misclassify transient proteinuria|weaken or distort|direction is not certain
40	graded association|distinguish persistent albuminuria|would not remove all confounding
41	1,334 people|selection could affect our estimates|cannot determine the direction
42	371 participants|extreme uric acid levels|146 positive participants
43	muscle mass and other non-GFR factors|cystatin C or measured GFR
44	annual GFR change|cannot directly estimate an effect on kidney failure|time to dialysis
45	disaster-affected communities|replication in other community and clinical populations
46	diet, stress, medication use, or access to care|reported home damage or flooding|cannot capture every consequence
47	independent cohort|repeated uric acid, quantitative albuminuria, and kidney function measurements|Detailed medication data
48	alternative spline specifications|sensitivity to early follow-up and dropout|not part of the reported results
49	controlled tubular-cell experiment|albumin exposure, urate exposure, and their combination|Soluble urate and crystals
50	adequately powered randomized trial|treatment-by-proteinuria interaction|kidney outcomes and safety
