category	question	answer
Study overview	What should a visitor take away from your poster?	Higher uric acid was linked to faster eGFR decline, mostly among people with proteinuria. Because this is observational, we can't say uric acid caused the decline.
Study overview	What gap in the literature did you address?	Many studies have looked at uric acid and kidney outcomes. What's less clear is whether proteinuria changes that relationship. We tested that, allowing the uric acid curve to be nonlinear.
Study overview	What kind of population did you study?	We studied 8,266 adults from the RIAS cohort in coastal Iwate. They were at least 20 years old. Their average age was about 62, and mean follow-up was about seven years.
Study overview	How common was proteinuria, and how was it classified?	371 people, or 4.5 percent. We called a single baseline dipstick reading of trace or greater positive. We also checked a stricter cutoff.
Study overview	Can you give one numerical example of the main result?	With proteinuria, eGFR declined by about 1.3 a year at a uric acid level of 5.0, compared with about 2.0 at 7.8. That's in milliliters per minute per 1.73 square meters per year.
Methods	How did the analysis use repeated kidney function measurements?	We used linear mixed models with a random intercept and slope for each person. So people could start at different eGFR levels and decline at different rates.
Methods	Why model uric acid continuously and allow curvature?	Categories would throw away information and depend on where we draw the cutoffs. We used restricted cubic splines, with knots at the 10th, 50th, and 90th percentiles.
Methods	How did you distinguish effect modification from separate subgroup associations?	We tested the three-way interaction of time, uric acid, and proteinuria. We didn't just compare the P values in the two groups.
Methods	Which potential confounders were included in the model?	We included baseline eGFR, age, sex, BMI, blood pressure, diabetes, smoking, alcohol, dyslipidemia, and home damage or flooding. We also included their interactions with time.
Methods	Why did you examine these six subgroup factors?	They cover demographics, cardiometabolic risk, and baseline kidney function. We chose age, sex, BMI, blood pressure, diabetes, and eGFR in advance, then used Bonferroni correction.
Reading the figures	How should I interpret the nearly flat curve without proteinuria?	Kidney function still declined, by about 1.1 per year. It just didn't change much across uric acid levels. A flat curve doesn't mean stable kidney function.
Reading the figures	What does the baseline GFR subgroup actually show?	In people whose baseline eGFR was below 60, the group with proteinuria declined faster across the uric acid range shown. It's a higher-risk group. It doesn't mean uric acid is more harmful for everyone with low eGFR.
Reading the figures	How much weight should we give to the subgroup P values?	Only the baseline eGFR subgroup showed a difference that remained significant after Bonferroni correction. We didn't find clear differences for the other factors, but that doesn't prove they're identical.
Reading the figures	What did changing the proteinuria threshold tell you?	With a 1+ cutoff, 146 participants had proteinuria, and we saw a similar overall pattern. The smaller group made the estimates less precise, so we didn't repeat the subgroup analyses.
Reading the figures	What do the vertical axis and shaded bands represent?	The vertical axis shows annual eGFR change. More negative means faster decline. The shaded areas show 95 percent confidence intervals for the estimated curve, not a prediction for an individual.
Discussion: Mechanisms	Why might proteinuria amplify the association with uric acid?	One idea is that proteinuria marks a kidney that's already injured and more sensitive to urate-related stress. Tubular inflammation might play a role.
Discussion: Mechanisms	Is proteinuria itself causing injury, or marking existing damage?	It could be either. Proteinuria may mark existing damage, and protein overload can also inflame tubules in experiments. A single dipstick test can't tell which is driving our result.
Discussion: Mechanisms	What is the proposed role of tubular inflammation?	In experimental work, albumin and urate have each been linked to inflammation in tubular cells. That's why we think this pathway is worth testing.
Discussion: Mechanisms	Does your explanation require urate crystal deposition?	No. Both soluble urate and crystals have been studied as possible inflammatory triggers. We didn't assess crystal deposition in this cohort.
Discussion: Mechanisms	Could reduced nephron reserve explain the pattern?	Possibly. A kidney that's already injured may have less capacity to handle another stressor. We didn't measure renal reserve, though.
Discussion: Mechanisms	Could the association reflect shared metabolic or vascular disease?	Yes. Cardiometabolic disease could be linked to both high uric acid and proteinuria. We adjusted for blood pressure, diabetes, and BMI, but residual confounding is still possible.
Discussion: Mechanisms	Did you evaluate biomarkers that support the proposed mechanism?	We didn't assess biomarkers of tubular injury or inflammation in this analysis. The idea comes from experimental work and needs testing in people.
Discussion: Causal interpretation	Can you conclude that higher uric acid caused the faster decline?	No. We measured uric acid before the follow-up decline, but kidney damage may already have raised it at baseline. Reverse causation and confounding are still possible.
Discussion: Causal interpretation	How could reverse causation operate in this cohort?	Existing kidney dysfunction can reduce urate excretion and raise serum uric acid. That same damage may also predict later decline, even if uric acid isn't causing it.
Discussion: Causal interpretation	Does adjusting for baseline GFR solve reverse causation?	It helps, but not completely. We adjusted using eGFR categories, and there's still variation within each category. eGFR can't capture every kind of kidney damage.
Discussion: Causal interpretation	Could proteinuria lie on the pathway from uric acid to kidney damage?	It could. We measured uric acid and proteinuria at the same visit, so we can't tell which came first. Our analysis tested interaction, not mediation.
Discussion: Causal interpretation	Could stratifying by proteinuria introduce bias?	Possibly. If uric acid and other causes of kidney decline both affect proteinuria, stratifying on proteinuria could create collider bias. So these are conditional associations.
Discussion: Causal interpretation	Which unmeasured factors concern you most?	Diet, diuretics, and RAS inhibitors come to mind. We don't have complete data on their use or treatment changes, so residual confounding is possible.
Discussion: Causal interpretation	Could changes in uric acid or proteinuria during follow-up alter the interpretation?	Yes. We only used baseline measurements. Repeated uric acid and proteinuria measurements could tell us whether persistent values behave differently from temporary ones.
Discussion: Causal interpretation	Is a statistically significant interaction necessarily clinically important?	No. The interaction P value was below 0.001, but clinical importance also depends on how large and reliable the difference is.
Discussion: Trials and clinical meaning	How do your findings fit with CKD-FIX and PERL?	In those trials, allopurinol lowered urate, but kidney decline wasn't slowed in the populations studied. Our finding is about prognosis. It doesn't show that lowering uric acid will help.
Discussion: Trials and clinical meaning	Could a proteinuria-positive subgroup explain why those trials were negative?	We can't infer that. CKD-FIX included many people with substantial albuminuria. To test that idea, we'd need a trial that prespecifies the interaction with proteinuria.
Discussion: Trials and clinical meaning	Would you prescribe urate-lowering treatment on the basis of this poster?	No, not from this poster alone. We studied prognosis, not whether urate-lowering treatment helps.
Discussion: Trials and clinical meaning	Should 5.0 milligrams per deciliter be considered the ideal treatment target?	No. Five was simply where the estimated curve was least negative. It's uncertain and wasn't tested as a treatment target.
Discussion: Trials and clinical meaning	Does the lower end of the curve mean that low uric acid is harmful?	I wouldn't take it that way. Estimates at the low end are less precise, and low uric acid might reflect illness or poor nutrition. We can't conclude that low uric acid harms the kidney.
Discussion: Trials and clinical meaning	Does the study identify a clinically useful uric acid cutoff?	No. We modeled uric acid continuously, and 7.8 was just an example on the curve. A clinical cutoff would need separate validation.
Discussion: Trials and clinical meaning	Did you show that uric acid improves risk prediction beyond proteinuria and GFR?	No, we didn't test prediction. We'd need to compare models with and without uric acid, including calibration and discrimination, and validate in another cohort.
Discussion: Trials and clinical meaning	What could change in clinical practice if the association is replicated?	It might help us interpret uric acid alongside proteinuria when we discuss kidney risk. We'd still need evidence that using that information improves care.
Discussion: Limitations	How could a single dipstick measurement affect the interaction?	A single dipstick can catch temporary proteinuria or miss low-grade albuminuria. That could change the estimated interaction, though we can't say in which direction.
Discussion: Limitations	Why would quantitative albuminuria strengthen the study?	UACR would give us a range of albuminuria levels, instead of just yes or no. Repeated measurements would also tell us who has persistent albuminuria.
Discussion: Limitations	Could excluding participants without follow-up bias the result?	Possibly. We excluded 1,334 people with no follow-up eGFR. If missing follow-up depended on both the exposures and subsequent kidney function, that could bias the association. We don't know the direction.
Discussion: Limitations	How does the small proteinuria-positive group affect your confidence?	There were only 371 people with proteinuria, and just 146 under the stricter cutoff. So estimates at the extremes and in small subgroups are less certain.
Discussion: Limitations	Could factors affecting creatinine distort the estimated GFR slopes?	Yes. Creatinine can change with muscle mass and other factors besides kidney filtration. Cystatin C or measured GFR could help check the pattern.
Discussion: Limitations	Does a slower GFR slope necessarily translate into fewer kidney-failure events?	We didn't analyze that. Our outcome was the eGFR slope, not kidney failure, so we can't estimate an individual's time to dialysis from this figure.
Discussion: Limitations	How transferable are these findings to other populations?	Our cohort was from one disaster-affected region of Japan. Other populations may differ in age, kidney disease, and access to care, so I'd want to see it replicated elsewhere.
Discussion: Limitations	Could the earthquake and tsunami have influenced the association?	Yes, it could have changed diet, stress, medication use, and access to care. We adjusted for home damage or flooding, but that can't capture every effect of the disaster.
Discussion: Next studies	What would be your highest-priority follow-up study?	I'd start with an independent cohort with repeated uric acid, UACR, and eGFR measurements, plus good medication data.
Discussion: Next studies	Which additional analyses would strengthen the observational evidence?	I'd check different spline settings and a more flexible adjustment for baseline eGFR. I'd also test how sensitive the results are to early follow-up and missing data. We haven't done those analyses yet.
Discussion: Next studies	What experiment would directly test your biological hypothesis?	I'd compare tubular cells exposed to albumin alone, urate alone, and both, then measure injury and inflammation. I'd also keep soluble urate and crystals separate.
Discussion: Next studies	How would you design a trial to test the treatment hypothesis?	I'd prespecify proteinuria and baseline eGFR strata in a randomized trial of urate-lowering therapy. The key test would be whether treatment works differently with and without proteinuria, while tracking kidney outcomes and safety.
